,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1,0.9998451772215141,38,0,0.20228558726438292,3919.87681417783,7,0,0,0,0.9692035444575064
1,0,0.067156292,59,0,0.37711647,9744.0,25,0,2,0,0.0
2,0,0.030253695,51,0,0.615890555,3800.0,16,0,2,0,0.0
3,1,0.4695021419345713,64,0,4487.780695833974,0.03680309259544011,12,0,1,0,0.0
4,0,0.025159056,40,0,0.178416079,13333.0,6,0,1,0,0.0
5,0,0.122975405,38,0,0.323556859,7500.0,6,0,2,0,0.0
6,1,0.3178628360666577,46,1,0.4306835233950545,15000.0,7,0,1,0,3.825000585171944
7,1,0.9999999,36,0,0.015725567428563132,4000.0,0,1,0,0,0.0
8,0,0.347788927,43,1,0.619912241,6608.0,9,0,1,0,0.0
9,0,0.013726424,62,0,524.0,0.46,6,0,1,0,0.0
10,0,0.01119639,61,0,0.198345181,8580.0,10,0,1,0,0.0
11,1,0.9999999,44,0,0.08314766552371461,3700.0,1,1,0,0,0.0
12,0,0.000327861,56,0,0.185227855,7811.0,4,0,1,0,0.0
13,1,0.8811545454861858,45,3,0.3787178238340738,11677.179395894833,4,0,1,0,2.0271654303234685
14,1,0.8321450660095558,48,4,0.8192392112591393,10960.224169020164,16,2,1,2,3.4080563400546167
15,0,0.233085544,75,0,184.0,0.28,7,0,0,0,0.0
16,0,0.760566385,36,0,0.538208827,7000.0,15,0,1,0,1.0
17,0,0.057098097,46,0,0.181275561,9046.0,4,0,1,0,0.0
18,0,0.099983336,45,0,0.33851468,11000.0,4,0,1,0,4.0
19,0,0.390832183,44,0,0.292353823,2000.0,2,0,0,0,3.0
20,1,0.9225661916457115,47,1,0.6673882321448488,9166.0,13,0,2,0,0.0
21,0,0.205386308,38,1,0.07079646,20000.0,6,0,0,0,1.0
22,1,0.570883129090981,51,0,0.7720364380446376,3800.0,14,0,1,0,1.201265288318069
23,0,0.000749963,62,0,0.0,6111.066666666667,6,0,0,0,0.0
24,0,0.067875417,50,0,5496.0,0.0,9,0,2,0,2.0
25,0,0.001400813,70,0,6.0,130.3,14,0,0,0,0.0
26,1,0.31514949717166674,57,0,0.9412526443826147,4179.872230698724,10,0,2,0,0.19165395191461843
27,1,0.8744079413081428,32,0,0.42733897562993906,3200.0,8,0,0,0,0.07690818900859508
28,1,1.2159903642421668,55,3,1951.0900721008852,471.428714107506,6,1,0,1,1.6145956739468925
29,1,0.8655263834448812,27,1,0.20600760895293052,4500.0,5,0,0,0,1.588441105390721
30,1,1.0799239206144442,33,1,748.425107850774,0.3049539571775965,5,0,0,2,0.0
31,1,0.22399030328190006,50,0,0.38094946289157433,5000.0,13,0,1,0,1.33069563761422
32,1,0.5075241772404243,55,0,0.38060928677680816,4400.0,6,1,1,0,0.2693783233680562
33,1,0.1731317560081626,56,0,0.6328056400721062,10500.0,22,0,1,0,0.9178505244955879
34,1,0.5032836072436657,60,1,1572.087364059069,0.3198057059378371,7,1,0,0,1.3137124723783993
35,0,0.263143813,44,0,0.320533973,6666.0,11,0,2,0,3.0
36,1,0.029379139023316708,52,0,0.47161675318714275,9624.08534032645,7,0,3,0,0.04267016322483952
37,0,0.952798882,54,0,0.558740602,6383.0,10,0,1,0,1.0
38,1,0.8279043993098567,39,0,0.275092447348679,8333.0,14,0,0,0,3.4020665609420826
39,0,0.996900155,36,0,0.108679971,8317.0,7,0,0,0,2.0
40,0,0.028945865,44,0,0.182128452,3222.0,12,0,1,0,0.0
41,1,0.0,88,5,0.0,9500.0,9,1,0,1,0.0
42,0,0.239812348,53,0,0.151313158,7500.0,16,0,1,0,0.0
43,1,0.7710717329291685,37,3,0.26619199811223104,4600.0,8,0,0,0,2.0
44,1,1.1309105109550996,46,1,0.12063248181934227,6934.194487937048,4,0,1,0,0.9267716306406901
45,0,0.225070715,39,1,0.497987599,9192.0,18,0,2,0,1.0
46,1,0.12219344465581715,79,0,0.8281281397412751,2500.0,9,0,0,1,0.0
47,0,0.003672598,68,0,0.47418681,3350.0,12,0,1,0,2.0
48,1,0.30082469156437625,45,0,0.3546821224192144,6000.0,10,0,1,0,2.0
49,0,0.9999999,23,0,0.002436054,820.0,1,0,0,0,0.0
50,0,0.109701411,68,0,0.059982862,3500.0,5,0,0,0,1.0
51,0,0.218244661,67,0,0.009084676,5833.0,3,0,0,0,0.0
52,0,0.0,82,0,0.151777575,2193.0,4,0,0,0,0.0
53,1,0.10750249713972204,52,1,0.29232176167292356,5000.0,6,0,1,0,1.9508155551315092
54,0,0.006382282,56,0,0.124245108,12418.0,4,0,1,0,0.0
55,1,0.9391356787331258,58,0,0.6217058084651498,5500.0,10,1,1,0,0.0
56,1,0.5593014893097339,54,2,0.1730926126622676,11691.898557960654,6,0,1,1,1.0
57,1,0.7540593957652874,59,2,0.4109056688371372,10227.72341994026,11,3,1,0,0.0
58,1,0.3099875326032834,41,1,0.4492129950394036,5597.28313804668,17,0,1,0,3.0
