,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0,0.1302314156607155,44,0,0.2880531976600112,6042.184021745451,5,0,1,0,0.0,1
1,0.09797830620984448,40,0,0.41832663740721077,7200.0,10,0,1,0,2.0,1
2,0.6960180909795355,33,0,0.25928803075444745,5000.0,9,0,0,0,0.0,1
3,0.9750283930951114,51,0,0.7729993931534037,3800.0,4,0,0,0,1.1884209110406299,1
4,0.109051624,42,0,1.235082459,3334.0,14,0,2,0,2.0,0
5,0.5813073900725313,52,0,2618.7812610978035,0.11656216706589606,12,0,1,0,0.0,1
6,0.001141242,50,0,0.584393001,9200.0,13,0,3,0,1.0,0
7,0.028543357,66,0,0.085242325,6416.0,11,0,1,0,0.0,0
8,0.051599674,58,0,0.073858447,8759.0,5,0,0,0,0.0,0
9,0.005048594,56,0,0.436955821,3100.0,16,0,1,0,1.0,0
10,0.7984705479383155,47,0,0.7541240027319597,9500.0,9,0,2,0,1.7014686106851014,1
11,0.8049716379367708,31,1,0.005674065864453183,80993.72835746956,5,0,0,0,2.0,1
12,0.153080163,40,0,0.41207839,7500.0,7,0,1,0,1.0,0
13,0.611609997,34,0,0.227074236,4350.0,5,0,0,0,3.0,0
14,1.105788423,30,1,973.0,0.16,7,3,0,5,0.7598634268323681,1
15,0.6726547685831366,35,0,0.29442114812903974,2945.0,6,1,0,1,0.0,1
16,0.190561888,31,0,71.0,0.44,3,0,0,0,0.0,0
17,0.006862611,70,0,0.141746111,3985.0,11,0,1,0,1.0,0
18,0.525737661,36,0,881.0,0.06,8,0,0,0,0.0,0
19,0.732695428789871,58,1,2411.1250429514985,0.2612504295149864,5,0,1,1,0.0,1
20,0.143979432,32,0,0.341841187,4583.0,4,0,1,0,0.0,0
21,0.075728285,53,0,0.400121188,4950.0,4,0,2,0,1.0,0
22,0.443163288,45,0,0.560850189,5833.0,13,0,1,0,1.0,0
23,0.08084143,26,1,0.663824604,820.0,4,0,0,0,0.0,0
24,0.039974819,50,0,48.0,0.15,6,0,0,0,0.0,0
25,0.168087121,39,0,0.153213488,8510.0,13,0,0,0,3.0,0
26,0.2737601732721314,52,0,0.39997122863763146,10166.958742298439,12,0,2,0,3.8349691937543637,1
27,0.034681989,55,0,0.182204172,10833.0,8,0,2,0,1.0,0
28,0.6830271193596329,44,1,3025.9557682515597,0.13521153084546242,5,0,1,0,2.3480772494801823,1
29,0.035219824189619,57,0,274.744645027454,0.2278748480782205,3,0,0,0,1.0851183241820024,1
30,0.450988302,62,0,0.512113617,8378.0,10,0,2,0,0.0,0
31,0.893149319255145,69,0,0.21010381100522574,6500.0,3,0,0,1,0.7698725852814663,1
32,0.293498119,50,0,0.726341332,3708.0,9,0,2,0,0.0,0
33,0.9999999,37,1,209.0,0.32,3,0,0,0,1.0,0
34,2.7568436308621775,33,0,3.860013753251083,2500.0,16,0,7,0,0.5030276115843799,1
35,0.09369088,74,0,0.479241661,4166.0,7,0,1,0,0.0,0
36,0.5222830898984887,39,0,4252.66893358158,0.32767926197095637,6,0,2,0,1.1262804426496884,1
37,0.48872431173718917,53,1,0.6774035435205162,5300.0,11,0,1,0,2.224529713303692,1
38,0.262276385,45,0,0.494756825,11061.0,18,0,1,0,2.0,0
39,0.08119797,46,0,0.521838253,8333.0,7,0,2,0,0.0,0
40,0.7751267265966946,50,0,0.5928318826209696,3049.813984685308,7,1,1,0,0.0,1
41,0.00441198,58,0,0.19144132,18600.0,5,0,2,0,0.0,0
42,0.4959277355261711,41,0,0.30940770984243093,5727.063709513394,5,0,1,0,2.687903171131336,1
43,0.0,57,0,0.073601361,4700.0,1,0,0,0,2.0,0
44,0.1277778850181419,39,0,0.16249402812456007,6000.0,4,0,0,0,3.0,1
45,0.9999999,37,0,0.247105788,2504.0,3,0,0,0,3.0,0
46,0.20650261230901903,26,0,0.0924461273336307,2800.0,3,0,0,0,0.8088501690019776,1
47,1.3363449248270767,43,0,0.4219014534686465,5800.0,5,3,1,2,4.0,1
48,0.486685678,62,1,0.280567534,7188.0,7,0,2,0,1.0,0
49,0.037273952,63,0,0.953488372,1805.0,8,0,1,0,0.0,0
50,0.031848946,68,0,0.01079865,4444.0,3,0,0,0,0.0,0
51,0.5827107010203685,35,0,0.5654521852571878,6666.0,10,0,1,0,2.4417872824279527,1
52,0.006571878,47,0,0.302479717,8750.0,13,0,1,0,0.0,0
53,0.883843768,38,0,0.52544311,5246.0,9,0,2,0,4.0,0
54,0.411724233,48,0,0.225832013,8833.0,9,0,1,0,0.0,0
55,0.0779044,52,0,0.232400883,14048.0,12,0,2,0,0.0,0
56,0.161167766,41,0,0.317652844,6100.0,5,0,2,0,0.0,0
57,0.3602056,47,0,0.312778323,13248.0,11,0,2,0,3.0,0
58,0.9972354991283917,49,0,9.853985950428356,3056.3599481417564,1,0,0,0,0.0,1
59,0.073503131,48,0,0.190701001,6989.0,11,0,0,0,1.0,0
60,0.7198982597322335,41,0,0.44919391838797207,14000.0,7,0,1,0,3.0,1
61,1.0152517604125493,36,0,0.27324596703896176,3542.712678816192,3,0,0,0,1.0,1
62,0.423111558,54,0,0.496296296,10124.0,16,0,1,0,3.0,0
63,0.03549990709126574,38,0,0.4673460051541175,3000.0,7,0,1,0,2.2106994888573364,1
64,0.009428235,51,0,0.860063607,2200.0,9,0,1,0,2.0,0
65,0.07272312,56,0,0.02039898,6666.0,5,0,0,0,0.0,0
66,0.292408603,45,0,0.350913995,6673.0,7,0,2,0,3.0,0
67,0.032893774,64,0,0.257600371,4308.0,7,0,1,0,0.0,0
68,1.105230763492893,42,0,0.7304019600037323,1800.0,6,6,0,0,0.0,1
69,0.15222681,62,0,0.252829778,9187.0,12,0,1,0,1.0,0
70,0.363894331,64,0,0.332108744,1360.0,6,0,0,0,0.0,0
71,0.168608269,51,0,0.358214161,8600.0,13,0,1,0,2.0,0
72,0.13383064258728716,31,0,0.39679570829145244,5200.0,10,0,0,0,1.3807699218858271,1
73,0.235934237,47,0,3842.0,0.01,6,0,2,0,0.0,0
